instance_id,title,ticket_description,expected_fail_to_pass_tests,test_files
sympy__sympy-18621,BlockDiagMatrix with one element cannot be converted to regular Matrix,"BlockDiagMatrix with one element cannot be converted to regular Matrix Creating a BlockDiagMatrix with one Matrix element will raise if trying to convert it back to a regular Matrix: ```python M = sympy.Matrix([[1, 2], [3, 4]]) D = sympy.BlockDiagMatrix(M) B = sympy.Matrix(D) ``` ``` Traceback (most recent call last): File ""<ipython-input-37-5b65c1f8f23e>"", line 3, in <module> B = sympy.Matrix(D) File ""/home/rikard/.local/lib/python3.7/site-packages/sympy/matrices/dense.py"", line 430, in __new__ return cls._new(*args, **kwargs) File ""/home/rikard/.local/lib/python3.7/site-packages/sympy/matrices/dense.py"", line 442, in _new rows, cols, flat_list = cls._handle_creation_inputs(*args, **kwargs) File ""/home/rikard/.local/lib/python3.7/site-packages/sympy/matrices/matrices.py"", line 2528, in _handle_creation_inputs return args[0].rows, args[0].cols, args[0].as_explicit()._mat File...",test_issue_18618,sympy/matrices/expressions/tests/test_blockmatrix.py
sympy__sympy-15345,mathematica_code gives wrong output with Max,"mathematica_code gives wrong output with Max If I run the code ``` x = symbols('x') mathematica_code(Max(x,2)) ``` then I would expect the output `'Max[x,2]'` which is valid Mathematica code but instead I get `'Max(2, x)'` which is not valid Mathematica code.",test_Function,sympy/printing/tests/test_mathematica.py
sympy__sympy-21614,Wrong Derivative kind attribute,"Wrong Derivative kind attribute I'm playing around with the `kind` attribute. The following is correct: ``` from sympy import Integral, Derivative from sympy import MatrixSymbol from sympy.abc import x A = MatrixSymbol('A', 2, 2) i = Integral(A, x) i.kind # MatrixKind(NumberKind) ``` This one is wrong: ``` d = Derivative(A, x) d.kind # UndefinedKind ```",test_Derivative_kind,sympy/core/tests/test_kind.py
sympy__sympy-22714,simpify gives `Imaginary coordinates are not permitted.` with evaluate(False),"simpify gives `Imaginary coordinates are not permitted.` with evaluate(False) ## Issue `with evaluate(False)` crashes unexpectedly with `Point2D` ## Code ```python import sympy as sp with sp.evaluate(False): sp.S('Point2D(Integer(1),Integer(2))') ``` ## Error ``` Traceback (most recent call last): File ""<stdin>"", line 1, in <module> File ""/home/avinash/.local/lib/python3.8/site-packages/sympy/core/sympify.py"", line 472, in sympify expr = parse_expr(a, local_dict=locals, transformations=transformations, evaluate=evaluate) File ""/home/avinash/.local/lib/python3.8/site-packages/sympy/parsing/sympy_parser.py"", line 1026, in parse_expr raise e from ValueError(f""Error from parse_expr with transformed code: {code!r}"") File ""/home/avinash/.local/lib/python3.8/site-packages/sympy/parsing/sympy_parser.py"", line 1017, in parse_expr rv = eval_expr(code, local_dict, global_dict) File...",test_issue_22684,sympy/geometry/tests/test_point.py
sympy__sympy-21627,Bug: maximum recusion depth error when checking is_zero of cosh expression,"Bug: maximum recusion depth error when checking is_zero of cosh expression The following code causes a `RecursionError: maximum recursion depth exceeded while calling a Python object` error when checked if it is zero: ``` expr =sympify(""cosh(acos(-i + acosh(-g + i)))"") expr.is_zero ```",test_Abs,sympy/functions/elementary/tests/test_complexes.py
sympy__sympy-22005,detection of infinite solution request,"detection of infinite solution request ```python >>> solve_poly_system((x - 1,), x, y) Traceback (most recent call last): ... NotImplementedError: only zero-dimensional systems supported (finite number of solutions) >>> solve_poly_system((y - 1,), x, y) <--- this is not handled correctly [(1,)] ``` ```diff diff --git a/sympy/solvers/polysys.py b/sympy/solvers/polysys.py index b9809fd4e9..674322d4eb 100644 --- a/sympy/solvers/polysys.py +++ b/sympy/solvers/polysys.py @@ -240,7 +240,7 @@ def _solve_reduced_system(system, gens, entry=False): univariate = list(filter(_is_univariate, basis)) - if len(univariate) == 1: + if len(univariate) == 1 and len(gens) == 1: f = univariate.pop() else: raise NotImplementedError(filldedent(''' diff --git a/sympy/solvers/tests/test_polysys.py b/sympy/solvers/tests/test_polysys.py index 58419f8762..9e674a6fe6 100644 ---...",test_solve_poly_system,sympy/solvers/tests/test_polysys.py
sympy__sympy-12481,`Permutation` constructor fails with non-disjoint cycles,"`Permutation` constructor fails with non-disjoint cycles Calling `Permutation([[0,1],[0,1]])` raises a `ValueError` instead of constructing the identity permutation. If the cycles passed in are non-disjoint, they should be applied in left-to-right order and the resulting permutation should be returned. This should be easy to compute. I don't see a reason why non-disjoint cycles should be forbidden.",test_args,sympy/combinatorics/tests/test_permutations.py
sympy__sympy-12171,matematica code printer does not handle floats and derivatives correctly,"matematica code printer does not handle floats and derivatives correctly In its current state the mathematica code printer does not handle Derivative(func(vars), deriver) e.g. Derivative(f(t), t) yields Derivative(f(t), t) instead of D[f[t],t] Also floats with exponents are not handled correctly e.g. 1.0e-4 is not converted to 1.0*^-4 This has an easy fix by adding the following lines to MCodePrinter: def _print_Derivative(self, expr): return ""D[%s]"" % (self.stringify(expr.args, "", "")) def _print_Float(self, expr): res =str(expr) return res.replace('e','*^')",test_Derivative,sympy/printing/tests/test_mathematica.py
sympy__sympy-17655,Unexpected exception when multiplying geometry.Point and number,"Unexpected exception when multiplying geometry.Point and number ```python from sympy import geometry as ge import sympy point1 = ge.Point(0,0) point2 = ge.Point(1,1) ``` This line works fine ```python point1 + point2 * sympy.sympify(2.0) ``` But when I write the same this way it raises an exception ```python point1 + sympy.sympify(2.0) * point2 ``` ``` --------------------------------------------------------------------------- TypeError Traceback (most recent call last) ~/.virtualenvs/test/lib/python3.6/site-packages/sympy/geometry/point.py in __add__(self, other) 219 try: --> 220 s, o = Point._normalize_dimension(self, Point(other, evaluate=False)) 221 except TypeError: ~/.virtualenvs/test/lib/python3.6/site-packages/sympy/geometry/point.py in __new__(cls, *args, **kwargs) 128 Expecting sequence of coordinates, not `{}`''' --> 129 .format(func_name(coords)))) 130 # A point where only...",test_point | test_point3D,sympy/geometry/tests/test_point.py
sympy__sympy-20212,"0**-oo produces 0, the documentation says it should produce zoo","0**-oo produces 0, the documentation says it should produce zoo Using SymPy 1.5.1, evaluate `0**-oo` produces `0`. The documentation for the Pow class states that it should return `ComplexInfinity`, aka `zoo` | expr | value | reason | | :-- | :-- | :--| | `0**-oo` | `zoo` | This is not strictly true, as 0**oo may be oscillating between positive and negative values or rotating in the complex plane. It is convenient, however, when the base is positive.|",test_zero,sympy/core/tests/test_power.py
